time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,train/policy_gradient_loss,train/learning_rate,train/approx_kl,train/explained_variance,rollout/ep_rew_wrapped_mean,train/value_loss,train/n_updates,train/clip_range,train/clip_fraction,train/entropy_loss,train/std,train/loss
2727936,710,3838,1.0,1,-1.0,-0.011928457599909355,0.0003,0.01746838,0.6744802892208099,0.012197887180373073,1.6096055786507525e-06,1100,0.2,0.23871256510416666,-0.6023543004722645,0.29354485869407654,-0.007270455826073885
2752512,715,3846,1.0,1,-1.0,-0.008007994049330591,0.0003,0.014008872,0.6337649524211884,0.011810382520779967,9.53927704496621e-07,1110,0.2,0.20540364583333334,-0.5498151333071292,0.2888663411140442,-0.026216711848974228
2777088,714,3889,1.0,1,-1.0,-0.010010515821765391,0.0003,0.015883438,0.7233209013938904,0.011506132241338491,1.055942299133204e-06,1120,0.2,0.21439208984375,-0.49089390556328,0.2835688889026642,0.02154354751110077
2801664,708,3952,1.0,1,-1.0,0.0025356757558862835,0.0003,0.008117391,-4.982183933258057,0.011257922467775643,1.2921281701679573e-06,1130,0.2,0.12118733723958333,-0.4956758823245764,0.2838378846645355,-0.0010572447208687663
2826240,715,3951,1.0,1,-1.0,-0.002951447283946133,0.0003,0.012959172,0.4301133155822754,0.01099999318830669,7.007222045272062e-07,1140,0.2,0.18305257161458333,-0.4422294376883656,0.27968937158584595,-0.024579133838415146
2850816,716,3979,1.0,1,-1.0,-0.0024783740288209324,0.0003,0.012662909,0.1966431736946106,0.01059516326058656,6.558779479264957e-07,1150,0.2,0.17303059895833334,-0.4068779118514309,0.2770560085773468,-0.00890287198126316
2875392,709,4054,1.0,1,-1.0,-0.0038061115125553138,0.0003,0.014684495,0.48740726709365845,0.010323438770137727,1.9965546649222676e-06,1160,0.2,0.20013427734375,-0.35462099824411175,0.27282559871673584,-0.020968327298760414
2899968,710,4083,1.0,1,-1.0,-0.0031996430846144602,0.0003,0.013796565,0.5619182288646698,0.010050416821613908,7.174509760600468e-07,1170,0.2,0.1895263671875,-0.31586876219759386,0.26976191997528076,0.01375623233616352
2924544,708,4124,1.0,1,-1.0,0.0036143477990359923,0.0003,0.009893081,-4.665957450866699,0.009788253628648817,8.026335845253326e-07,1180,0.2,0.12650146484375,-0.2911045612767339,0.2680697441101074,0.034532297402620316
2949120,713,4130,1.0,1,-1.0,-0.0018529315490013686,0.0003,0.021174608,0.3967072367668152,0.009510910781100392,9.393770909633484e-07,1190,0.2,0.21181233723958334,-0.2625299245429536,0.26540130376815796,-0.0006061345338821411
